Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquiree Industries,Acquiree Headquarters,Acquirer Industries,Acquirer Headquarters,Acquiree CB Rank,Acquirer CB Rank
Manipal Hospitals acquired by Sheares Healthcare,Manipal Hospitals,Sheares Healthcare,"Apr 8, 2023",₹400M,"['Health Care', 'Medical']",Asia-Pacific (APAC),"['Health Care', 'Impact Investing']",Asia-Pacific (APAC),"1,487",undisclosed
WebileApps acquired by KFintech,WebileApps,KFintech,"Apr 7, 2023",₹110M,"['Apps', 'Developer APIs', 'UX Design']",Asia-Pacific (APAC),['Financial Services'],Asia-Pacific (APAC),"126,424",undisclosed
The Institute of Education acquired by Dukes Education Group,The Institute of Education,Dukes Education Group,"Apr 7, 2023",undisclosed,['Education'],European Union (EU),"['Education', 'Primary Education', 'Secondary Education']",undisclosed,"668,490","129,053"
dhiOmics Analytics Solutions acquired by ADA,dhiOmics Analytics Solutions,ADA,"Apr 6, 2023",undisclosed,"['Analytics', 'Information and Communications Technology (ICT)', 'Information Technology', 'IT Infrastructure', 'Machine Learning']",Asia-Pacific (APAC),"['Advertising', 'Artificial Intelligence', 'E-Commerce', 'Marketing']",Asia-Pacific (APAC),"37,975","2,047"
Roofed Right America acquired by Great Range Capital,Roofed Right America,Great Range Capital,"Apr 6, 2023",undisclosed,"['Building Material', 'Construction', 'Property Development']",Great Lakes,[],Midwestern US,"169,459",undisclosed
Innsoft acquired by Yanolja,Innsoft,Yanolja,"Apr 6, 2023",$8.3M,"['Hospitality', 'Hotel', 'Software']",West Coast,"['Hotel', 'Leisure', 'Travel', 'Travel Accommodations']",Asia-Pacific (APAC),"124,687",427
GEAX srl acquired by Lifco,GEAX srl,Lifco,"Apr 6, 2023",undisclosed,"['Industrial', 'Machinery Manufacturing', 'Manufacturing']",European Union (EU),"['Developer Tools', 'Market Research', 'Service Industry']",European Union (EU),"476,935","15,949"
Caring Hands acquired by Veterinary Practice Partners,Caring Hands,Veterinary Practice Partners,"Apr 6, 2023",undisclosed,"['Health Care', 'Hospital', 'Pet', 'Veterinary']",Washington DC Metro Area,"['Health Care', 'Pet', 'Veterinary']",Greater Philadelphia Area,"160,730","82,411"
ROBO Global acquired by VettaFi,ROBO Global,VettaFi,"Apr 6, 2023",undisclosed,"['Angel Investment', 'Artificial Intelligence', 'Health Care', 'Robotics', 'Venture Capital']",Dallas/Fort Worth Metroplex,"['Finance', 'Financial Exchanges', 'Financial Services']",Greater New York Area,undisclosed,831
Symec acquired by Technology Recovery Group,Symec,Technology Recovery Group,"Apr 6, 2023",undisclosed,"['Information Services', 'Information Technology']",undisclosed,"['Information Technology', 'Payments', 'Point of Sale']",Great Lakes,"159,367","121,089"
Fonderia Boccacci acquired by Consilium SGR pA,Fonderia Boccacci,Consilium SGR pA,"Apr 6, 2023",undisclosed,"['Industrial', 'Industrial Design', 'Industrial Manufacturing']",European Union (EU),['Financial Services'],European Union (EU),"306,412",undisclosed
Highway Supply acquired by RoadSafe Traffic Systems,Highway Supply,RoadSafe Traffic Systems,"Apr 6, 2023",undisclosed,"['Commercial', 'Construction', 'Industrial']",Western US,"['Construction', 'Public Safety']",Greater Chicago Area,"263,219","102,274"
ATAC Resources acquired by Hecla Mining Company,ATAC Resources,Hecla Mining Company,"Apr 6, 2023",CA$39M,"['Mineral', 'Mining', 'Precious Metals']",undisclosed,"['Mineral', 'Mining', 'Precious Metals']",Western US,"52,781","39,954"
Tripeur acquired by Navan,Tripeur,Navan,"Apr 6, 2023",undisclosed,"['Artificial Intelligence', 'Business Travel', 'E-Commerce', 'Information Technology', 'Machine Learning', 'Travel']",Asia-Pacific (APAC),"['Business Travel', 'Customer Service', 'Payments', 'Software']",San Francisco Bay Area,"4,668",22
DeFranco Insurance acquired by HUB International,DeFranco Insurance,HUB International,"Apr 6, 2023",undisclosed,"['Commercial Insurance', 'Health Insurance', 'Insurance', 'Life Insurance']",Greater Seattle Area,"['Insurance', 'InsurTech', 'Risk Management']",Greater Chicago Area,"415,507","65,837"
Lifecycle Insights - MSP acquired by ScalePad,Lifecycle Insights - MSP,ScalePad,"Apr 6, 2023",undisclosed,"['Computer', 'Hardware']",undisclosed,"['Computer', 'Hardware', 'Software']",undisclosed,"462,643","19,966"
LanguageTool acquired by Learneo,LanguageTool,Learneo,"Apr 6, 2023",undisclosed,"['Computer', 'Software']",European Union (EU),"['Artificial Intelligence', 'Information Technology', 'Internet']",San Francisco Bay Area,"88,837","99,488"
Korsini acquired by Multi-Color,Korsini,Multi-Color,"Apr 6, 2023",undisclosed,"['Manufacturing', 'Packaging Services']",undisclosed,"['Advertising', 'Communities', 'Packaging Services', 'Printing']",East Coast,undisclosed,"1,952"
WeMakePrice acquired by Qoo10,WeMakePrice,Qoo10,"Apr 6, 2023",undisclosed,"['Advertising', 'Advertising Platforms', 'E-Commerce']",Asia-Pacific (APAC),"['Consumer Goods', 'E-Commerce']",Asia-Pacific (APAC),"2,584","96,321"
