Company Name,Headquarter Location,Employee Count Range,Founding Type,Type of a Company,Company Rank,Total Funding Amount,Number of Contacts,Number of Employee Profiles,List of Employee Profiles,Industries,Founded Date,Company Type,Contact Email,Contact Phone
 Manipal Hospitals ," Bangalore,  Karnataka,  India",_10001+,Private Equity,For Profit,"6,711",$386.5M,164,8,"['https://www.crunchbase.com/person/nandkishor-dhomne', 'https://www.crunchbase.com/person/dilip-jose', 'https://www.crunchbase.com/person/anoop-amarnath', 'https://www.crunchbase.com/person/abhijit-bhograj', 'https://www.crunchbase.com/person/dr-tonse-madhava-ananth-pai', 'https://www.crunchbase.com/person/manjusha-anumolu', 'https://www.crunchbase.com/person/karthik-rajagopal-7757', 'https://www.crunchbase.com/person/pramod-alagharu']",,,,,
 Sheares Healthcare ," Singapore,  Central Region",undisclosed,undisclosed,For Profit,undisclosed,undisclosed,undisclosed,1,['https://www.crunchbase.com/person/ram-t-k-udairam'],,,,,
 WebileApps ," Hyderabad,  Andhra Pradesh,  India",_51-100,undisclosed,For Profit,"126,424",undisclosed,undisclosed,4,"['https://www.crunchbase.com/person/lasya-krishna', 'https://www.crunchbase.com/person/naz-mir-59ef', 'https://www.crunchbase.com/person/satya-k', 'https://www.crunchbase.com/person/rajiv-n']",,,,,
 KFintech ," Hyderabad,  Andhra Pradesh,  India",_5001-10000,Corporate Round,undisclosed,undisclosed,undisclosed,undisclosed,4,"['https://www.crunchbase.com/person/sathish-nuggu', 'https://www.crunchbase.com/person/vivek-mathur-43bb', 'https://www.crunchbase.com/person/sreekanth-nadella', 'https://www.crunchbase.com/person/ganesh-venkatachalam']",,,,,
 The Institute of Education ," Dublin,  Ireland",_101-250,undisclosed,For Profit,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Dukes Education Group ," London,  England,  United Kingdom",_501-1000,Debt Financing,For Profit,"194,386",undisclosed,26,2,"['https://www.crunchbase.com/person/jon-pickles-da6e', 'https://www.crunchbase.com/person/aatif-hassan']",,,,,
 dhiOmics Analytics Solutions ," Bengaluru,  Karnataka,  India",_1-10,Series A,For Profit,"38,396",$90K,undisclosed,undisclosed,undisclosed,,,,,
 ADA ," Kuala Lumpur,  Malaysia",_1001-5000,Corporate Round,For Profit,"2,047",$80M,117,6,"['https://www.crunchbase.com/person/anurag-gupta-7547', 'https://www.crunchbase.com/person/srinivas-gattamneni', 'https://www.crunchbase.com/person/mohamed-fariq-cader', 'https://www.crunchbase.com/person/bradley-dykstra', 'https://www.crunchbase.com/person/kok-weng-lim', 'https://www.crunchbase.com/person/natthachida-navamachiti-c2ce']",,,,,
 Roofed Right America ," Milwaukee,  Wisconsin,  United States",_51-100,undisclosed,For Profit,"169,181",undisclosed,16,undisclosed,undisclosed,,,,,
 Great Range Capital ," Leawood,  Kansas,  United States",_1-10,undisclosed,undisclosed,undisclosed,undisclosed,13,undisclosed,undisclosed,,,,,
 Innsoft ," Beaverton,  Oregon,  United States",_11-50,undisclosed,For Profit,"124,687",undisclosed,10,1,['https://www.crunchbase.com/person/paul-sonoda-4e6b'],,,,,
 Yanolja ," Seoul,  Seoul-t'ukpyolsi,  South Korea",_1001-5000,Venture - Series Unknown,For Profit,430,$1.9B,7,2,"['https://www.crunchbase.com/person/lee-sujin', 'https://www.crunchbase.com/person/jong-yoon-kim-a442']",,,,,
 Caring Hands ," Alexandria,  Virginia,  United States",_101-250,undisclosed,For Profit,"160,454",undisclosed,49,undisclosed,undisclosed,,,,,
 Veterinary Practice Partners ," King Of Prussia,  Pennsylvania,  United States",_101-250,Private Equity,For Profit,"82,411",$10M,56,3,"['https://www.crunchbase.com/person/len-podolsky', 'https://www.crunchbase.com/person/richard-lester-ad0c', 'https://www.crunchbase.com/person/douglas-aspros']",,,,,
 Fonderia Boccacci ," Piana Battolla,  Liguria,  Italy",undisclosed,undisclosed,undisclosed,"306,412",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Consilium SGR pA ," Milan,  Lombardia,  Italy",undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Highway Supply ," Albuquerque,  New Mexico,  United States",_101-250,undisclosed,For Profit,"263,219",undisclosed,5,undisclosed,undisclosed,,,,,
 RoadSafe Traffic Systems ," Chicago,  Illinois,  United States",_1001-5000,undisclosed,For Profit,"102,069",undisclosed,190,3,"['https://www.crunchbase.com/person/joseph-scarano-393b', 'https://www.crunchbase.com/person/joseph-scarano-393b', 'https://www.crunchbase.com/person/dave-meirick-5ac2']",,,,,
 Symec ," Southall,  Ealing,  United Kingdom",_51-100,undisclosed,For Profit,"164,480",undisclosed,28,1,['https://www.crunchbase.com/person/keith-lavelle'],,,,,
 Technology Recovery Group ," Westlake,  Ohio,  United States",_101-250,undisclosed,For Profit,"120,882",undisclosed,72,13,"['https://www.crunchbase.com/person/brent-leslie', 'https://www.crunchbase.com/person/dave-foyer', 'https://www.crunchbase.com/person/mike-mcguriman', 'https://www.crunchbase.com/person/sean-kennedy-c33c', 'https://www.crunchbase.com/person/andy-turton-85df', 'https://www.crunchbase.com/person/misty-huba', 'https://www.crunchbase.com/person/tim-steiner-912c', 'https://www.crunchbase.com/person/amber-ferrara']",,,,,
 ROBO Global ," Dallas,  Texas,  United States",_11-50,undisclosed,For Profit,undisclosed,undisclosed,14,5,"['https://www.crunchbase.com/person/lisa-chai', 'https://www.crunchbase.com/person/lisa-chai', 'https://www.crunchbase.com/person/raffaello-d-andrea', 'https://www.crunchbase.com/person/clay-shepherd-5056', 'https://www.crunchbase.com/person/henrik-christensen']",,,,,
 VettaFi ," New York,  United States",_51-100,Corporate Round,For Profit,848,$175M,4,1,['https://www.crunchbase.com/person/tom-lydon-5135'],,,,,
 GEAX srl ," Montefano,  Marche,  Italy",_11-50,undisclosed,For Profit,"476,935",undisclosed,undisclosed,undisclosed,undisclosed,,,,,
 Lifco ," Enköping,  Uppsala Lan,  Sweden",_5001-10000,undisclosed,For Profit,"15,949",undisclosed,1,2,"['https://www.crunchbase.com/person/therese-hoffman', 'https://www.crunchbase.com/person/per-waldemarson']",,,,,
